,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,619,108,112,madrid,120,italian,1,301355
1,609,130,196,madrid,120,italian,1,301355
2,538,108,113,madrid,120,italian,1,301355
3,138,60,56,madrid,120,italian,1,301355
4,265,183,280,madrid,120,italian,1,301355
5,997,109,139,madrid,120,italian,1,301355
6,186,112,140,madrid,120,italian,1,301355
7,20,62,56,madrid,120,italian,1,301355
8,108,84,56,madrid,120,italian,1,301355
9,310,57,138,madrid,120,italian,1,301355
10,149,133,194,madrid,120,italian,1,301355
11,284,111,141,madrid,120,italian,1,301355
12,120,113,138,madrid,120,italian,1,301355
13,384,134,195,madrid,120,italian,1,301355
14,575,81,111,madrid,120,italian,1,301355
15,673,129,193,madrid,120,italian,1,301355
16,901,187,276,madrid,120,italian,1,301355
17,836,131,195,madrid,120,italian,1,301355
18,606,181,278,madrid,120,italian,1,301355
19,721,60,111,madrid,120,italian,1,301355
20,729,187,279,madrid,120,italian,1,301355
21,717,188,275,madrid,120,italian,1,301355
22,600,56,56,madrid,120,italian,1,301355
23,439,81,110,madrid,120,italian,1,301355
24,164,109,142,madrid,120,italian,1,301355
25,780,182,280,madrid,120,italian,1,301355
26,411,82,56,madrid,120,italian,1,301355
27,857,82,112,madrid,120,italian,1,301355
28,276,61,56,madrid,120,italian,1,301355
29,235,112,140,madrid,120,italian,1,301355
30,233,112,138,madrid,120,italian,1,301355
31,277,180,281,madrid,120,italian,1,301355
32,689,78,112,madrid,120,italian,1,301355
33,246,188,282,madrid,120,italian,1,301355
34,102,184,278,madrid,120,italian,1,301355
35,873,189,283,madrid,120,italian,1,301355
36,966,60,56,madrid,120,italian,1,301355
37,444,80,112,madrid,120,italian,1,301355
38,909,58,56,madrid,120,italian,1,301355
39,174,130,197,madrid,120,italian,1,301355
40,312,83,139,madrid,120,italian,1,301355
41,351,79,57,madrid,120,italian,1,301355
42,615,81,110,madrid,120,italian,1,301355
43,393,111,140,madrid,120,italian,1,301355
44,378,111,138,madrid,120,italian,1,301355
45,791,83,113,madrid,120,italian,1,301355
46,135,182,278,madrid,120,italian,1,301355
47,618,82,112,madrid,120,italian,1,301355
48,297,183,280,madrid,120,italian,1,301355
49,79,85,112,madrid,120,italian,1,301355
50,93,182,280,madrid,120,italian,1,301355
51,936,111,138,madrid,120,italian,1,301355
52,710,84,111,madrid,120,italian,1,301355
53,258,131,195,madrid,120,italian,1,301355
54,860,110,140,madrid,120,italian,1,301355
55,870,62,56,madrid,120,italian,1,301355
56,7,83,56,madrid,120,italian,1,301355
57,333,79,111,madrid,120,italian,1,301355
58,483,83,55,madrid,120,italian,1,301355
59,798,184,280,madrid,120,italian,1,301355
60,131,133,196,madrid,120,italian,1,301355
61,828,110,57,madrid,120,italian,1,301355
62,888,180,279,madrid,120,italian,1,301355
63,499,129,195,madrid,120,italian,1,301355
64,886,84,111,madrid,120,italian,1,301355
65,768,191,278,madrid,120,italian,1,301355
66,54,79,140,madrid,120,italian,1,301355
67,322,80,56,madrid,120,italian,1,301355
68,845,182,281,madrid,120,italian,1,301355
69,495,191,279,madrid,120,italian,1,301355
70,478,83,112,madrid,120,italian,1,301355
71,75,83,112,madrid,120,italian,1,301355
72,458,62,113,madrid,120,italian,1,301355
73,454,85,113,madrid,120,italian,1,301355
74,97,184,283,madrid,120,italian,1,301355
75,127,61,112,madrid,120,italian,1,301355
76,737,133,196,madrid,120,italian,1,301355
77,39,82,112,madrid,120,italian,1,301355
78,2,81,194,madrid,120,italian,1,301355
79,31,82,111,madrid,120,italian,1,301355
80,427,132,192,madrid,120,italian,1,301355
81,313,60,55,madrid,120,italian,1,301355
82,697,111,138,madrid,120,italian,1,301355
83,747,132,195,madrid,120,italian,1,301355
84,822,131,195,madrid,120,italian,1,301355
85,154,185,278,madrid,120,italian,1,301355
86,941,59,56,madrid,120,italian,1,301355
87,800,82,56,madrid,120,italian,1,301355
88,388,110,139,madrid,120,italian,1,301355
89,414,57,111,madrid,120,italian,1,301355
90,205,78,57,madrid,120,italian,1,301355
91,525,80,113,madrid,120,italian,1,301355
92,500,59,138,madrid,120,italian,1,301355
93,252,132,195,madrid,120,italian,1,301355
94,285,80,55,madrid,120,italian,1,301355
95,175,82,112,madrid,120,italian,1,301355
96,847,84,114,madrid,120,italian,1,301355
97,982,132,198,madrid,120,italian,1,301355
98,733,84,112,madrid,120,italian,1,301355
99,418,112,140,madrid,120,italian,1,301355
100,413,181,282,madrid,120,italian,1,301355
101,939,128,192,madrid,120,italian,1,301355
102,185,110,140,madrid,120,italian,1,301355
103,67,191,281,madrid,120,italian,1,301355
104,241,110,140,madrid,120,italian,1,301355
105,633,111,140,madrid,120,italian,1,301355
106,561,60,56,madrid,120,italian,1,301355
107,398,57,56,madrid,120,italian,1,301355
108,147,130,196,madrid,120,italian,1,301355
109,964,111,140,madrid,120,italian,1,301355
110,904,84,111,madrid,120,italian,1,301355
111,789,57,56,madrid,120,italian,1,301355
112,261,83,112,madrid,120,italian,1,301355
113,468,58,56,madrid,120,italian,1,301355
114,527,110,139,madrid,120,italian,1,301355
115,126,80,112,madrid,120,italian,1,301355
0,958,179,193,copenhagen,50,hungarian,0,301356
1,562,181,195,copenhagen,50,hungarian,0,301356
2,961,172,195,copenhagen,50,hungarian,0,301356
3,110,151,140,copenhagen,50,hungarian,0,301356
4,691,77,113,copenhagen,50,hungarian,0,301356
5,23,148,140,copenhagen,50,hungarian,0,301356
6,831,80,56,copenhagen,50,hungarian,0,301356
7,291,179,197,copenhagen,50,hungarian,0,301356
