,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,323,236,280,paris,180,belgian,1,280596
1,338,171,197,paris,180,belgian,1,280596
2,148,100,112,paris,180,belgian,1,280596
3,192,104,55,paris,180,belgian,1,280596
4,216,168,195,paris,180,belgian,1,280596
5,612,170,198,paris,180,belgian,1,280596
6,412,243,278,paris,180,belgian,1,280596
7,948,168,195,paris,180,belgian,1,280596
8,357,141,138,paris,180,belgian,1,280596
9,29,167,196,paris,180,belgian,1,280596
10,614,76,56,paris,180,belgian,1,280596
11,449,165,195,paris,180,belgian,1,280596
12,66,139,140,paris,180,belgian,1,280596
13,474,142,140,paris,180,belgian,1,280596
14,645,141,141,paris,180,belgian,1,280596
15,942,164,198,paris,180,belgian,1,280596
16,912,144,140,paris,180,belgian,1,280596
17,797,108,112,paris,180,belgian,1,280596
18,741,142,140,paris,180,belgian,1,280596
19,150,170,198,paris,180,belgian,1,280596
20,573,241,281,paris,180,belgian,1,280596
21,577,141,138,paris,180,belgian,1,280596
22,776,139,140,paris,180,belgian,1,280596
23,132,236,275,paris,180,belgian,1,280596
24,602,101,56,paris,180,belgian,1,280596
25,656,102,112,paris,180,belgian,1,280596
26,229,165,195,paris,180,belgian,1,280596
27,866,240,280,paris,180,belgian,1,280596
28,998,168,192,paris,180,belgian,1,280596
29,65,141,139,paris,180,belgian,1,280596
30,584,243,279,paris,180,belgian,1,280596
31,722,145,141,paris,180,belgian,1,280596
32,889,144,138,paris,180,belgian,1,280596
33,571,240,278,paris,180,belgian,1,280596
34,121,72,56,paris,180,belgian,1,280596
35,176,75,55,paris,180,belgian,1,280596
36,199,171,197,paris,180,belgian,1,280596
37,27,240,281,paris,180,belgian,1,280596
38,534,240,279,paris,180,belgian,1,280596
39,342,105,56,paris,180,belgian,1,280596
40,222,238,281,paris,180,belgian,1,280596
41,436,236,280,paris,180,belgian,1,280596
42,972,75,56,paris,180,belgian,1,280596
43,647,107,113,paris,180,belgian,1,280596
44,254,144,140,paris,180,belgian,1,280596
45,884,167,197,paris,180,belgian,1,280596
46,564,81,55,paris,180,belgian,1,280596
47,257,141,140,paris,180,belgian,1,280596
48,467,233,278,paris,180,belgian,1,280596
49,17,78,56,paris,180,belgian,1,280596
50,28,104,111,paris,180,belgian,1,280596
51,946,170,196,paris,180,belgian,1,280596
52,858,165,197,paris,180,belgian,1,280596
53,986,168,197,paris,180,belgian,1,280596
54,301,100,111,paris,180,belgian,1,280596
55,640,145,140,paris,180,belgian,1,280596
56,182,142,140,paris,180,belgian,1,280596
57,392,142,138,paris,180,belgian,1,280596
58,705,107,112,paris,180,belgian,1,280596
59,62,75,56,paris,180,belgian,1,280596
60,970,230,281,paris,180,belgian,1,280596
61,885,144,138,paris,180,belgian,1,280596
62,24,233,280,paris,180,belgian,1,280596
